day,total_cells,flask_count,media_consumed,bsc_hours,staff_hours,run_id
1,6265915.271951871,3,150.0,1.3000000000000003,1.5499999999999998,0
2,11810812.599792913,3,195.0,0.30000000000000004,0.5499999999999999,0
3,21928113.674356025,3,240.0,0.30000000000000004,0.5499999999999999,0
4,38675118.38921221,3,285.0,0.30000000000000004,0.5499999999999999,0
1,5786619.453035845,3,150.0,1.3000000000000003,1.5499999999999998,1
2,10917900.564288553,3,195.0,0.30000000000000004,0.5499999999999999,1
3,20338890.43368359,3,240.0,0.30000000000000004,0.5499999999999999,1
4,36270563.37633468,3,285.0,0.30000000000000004,0.5499999999999999,1
1,5363294.772667825,3,150.0,1.3000000000000003,1.5499999999999998,2
2,10126427.850875366,3,195.0,0.30000000000000004,0.5499999999999999,2
3,18912062.453909114,3,240.0,0.30000000000000004,0.5499999999999999,2
4,34012360.74449014,3,285.0,0.30000000000000004,0.5499999999999999,2
1,5959369.923920898,3,150.0,1.3000000000000003,1.5499999999999998,3
2,11241015.01042803,3,195.0,0.30000000000000004,0.5499999999999999,3
3,20922218.206140034,3,240.0,0.30000000000000004,0.5499999999999999,3
4,37198335.05546569,3,285.0,0.30000000000000004,0.5499999999999999,3
1,5435941.8108270755,3,150.0,1.3000000000000003,1.5499999999999998,4
2,10261469.091817897,3,195.0,0.30000000000000004,0.5499999999999999,4
3,19150430.067248438,3,240.0,0.30000000000000004,0.5499999999999999,4
4,34360730.04712097,3,285.0,0.30000000000000004,0.5499999999999999,4
1,5740259.005874074,3,150.0,1.3000000000000003,1.5499999999999998,5
2,10829515.052136179,3,195.0,0.30000000000000004,0.5499999999999999,5
3,20168506.33027601,3,240.0,0.30000000000000004,0.5499999999999999,5
4,35938283.71383957,3,285.0,0.30000000000000004,0.5499999999999999,5
1,5540132.929207066,3,150.0,1.3000000000000003,1.5499999999999998,6
2,10457501.478962421,3,195.0,0.30000000000000004,0.5499999999999999,6
3,19511801.009603456,3,240.0,0.30000000000000004,0.5499999999999999,6
4,34978068.0357673,3,285.0,0.30000000000000004,0.5499999999999999,6
1,5256723.5026925225,3,150.0,1.3000000000000003,1.5499999999999998,7
2,9926351.6691543,3,195.0,0.30000000000000004,0.5499999999999999,7
3,18546003.81957413,3,240.0,0.30000000000000004,0.5499999999999999,7
4,33401808.693223733,3,285.0,0.30000000000000004,0.5499999999999999,7
1,5685757.316246477,3,150.0,1.3000000000000003,1.5499999999999998,8
2,10729605.38549976,3,195.0,0.30000000000000004,0.5499999999999999,8
3,20001275.000705246,3,240.0,0.30000000000000004,0.5499999999999999,8
4,35746723.431125715,3,285.0,0.30000000000000004,0.5499999999999999,8
1,5949389.775381406,3,150.0,1.3000000000000003,1.5499999999999998,9
2,11221348.57407339,3,195.0,0.30000000000000004,0.5499999999999999,9
3,20880295.05346712,3,240.0,0.30000000000000004,0.5499999999999999,9
4,37096228.40355974,3,285.0,0.30000000000000004,0.5499999999999999,9
1,5699003.118807214,3,150.0,1.3000000000000003,1.5499999999999998,10
2,10753782.248569872,3,195.0,0.30000000000000004,0.5499999999999999,10
3,20041054.52326822,3,240.0,0.30000000000000004,0.5499999999999999,10
4,35788138.44111709,3,285.0,0.30000000000000004,0.5499999999999999,10
1,5886720.710744421,3,150.0,1.3000000000000003,1.5499999999999998,11
2,11102860.120643223,3,195.0,0.30000000000000004,0.5499999999999999,11
3,20658292.935729925,3,240.0,0.30000000000000004,0.5499999999999999,11
4,36699894.504923046,3,285.0,0.30000000000000004,0.5499999999999999,11
1,5757651.276579568,3,150.0,1.3000000000000003,1.5499999999999998,12
2,10862935.967863824,3,195.0,0.30000000000000004,0.5499999999999999,12
3,20234605.59226014,3,240.0,0.30000000000000004,0.5499999999999999,12
4,36076155.61948233,3,285.0,0.30000000000000004,0.5499999999999999,12
1,5737366.943650906,3,150.0,1.3000000000000003,1.5499999999999998,13
2,10826104.938860476,3,195.0,0.30000000000000004,0.5499999999999999,13
3,20175280.366582166,3,240.0,0.30000000000000004,0.5499999999999999,13
4,36022236.71540001,3,285.0,0.30000000000000004,0.5499999999999999,13
1,5589191.396989012,3,150.0,1.3000000000000003,1.5499999999999998,14
2,10549005.750866875,3,195.0,0.30000000000000004,0.5499999999999999,14
3,19675344.12787486,3,240.0,0.30000000000000004,0.5499999999999999,14
4,35228806.66909996,3,285.0,0.30000000000000004,0.5499999999999999,14
1,5341103.728129204,3,150.0,1.3000000000000003,1.5499999999999998,15
2,10084940.554965649,3,195.0,0.30000000000000004,0.5499999999999999,15
3,18837289.370832145,3,240.0,0.30000000000000004,0.5499999999999999,15
4,33894177.26352979,3,285.0,0.30000000000000004,0.5499999999999999,15
1,5645961.444348553,3,150.0,1.3000000000000003,1.5499999999999998,16
2,10653525.779228823,3,195.0,0.30000000000000004,0.5499999999999999,16
3,19853246.817925062,3,240.0,0.30000000000000004,0.5499999999999999,16
4,35450045.42628377,3,285.0,0.30000000000000004,0.5499999999999999,16
1,5910528.761712801,3,150.0,1.3000000000000003,1.5499999999999998,17
2,11149618.104637202,3,195.0,0.30000000000000004,0.5499999999999999,17
3,20756937.906360224,3,240.0,0.30000000000000004,0.5499999999999999,17
4,36933974.85422231,3,285.0,0.30000000000000004,0.5499999999999999,17
1,5678470.010071328,3,150.0,1.3000000000000003,1.5499999999999998,18
2,10715310.735407222,3,195.0,0.30000000000000004,0.5499999999999999,18
3,19971193.140767507,3,240.0,0.30000000000000004,0.5499999999999999,18
4,35675116.565311566,3,285.0,0.30000000000000004,0.5499999999999999,18
1,5773472.027327468,3,150.0,1.3000000000000003,1.5499999999999998,19
2,10891912.538128493,3,195.0,0.30000000000000004,0.5499999999999999,19
3,20282949.498088866,3,240.0,0.30000000000000004,0.5499999999999999,19
4,36130735.14723135,3,285.0,0.30000000000000004,0.5499999999999999,19
1,5468702.856786384,3,150.0,1.3000000000000003,1.5499999999999998,20
2,10322102.32674329,3,195.0,0.30000000000000004,0.5499999999999999,20
3,19255754.659681834,3,240.0,0.30000000000000004,0.5499999999999999,20
4,34505283.189072594,3,285.0,0.30000000000000004,0.5499999999999999,20
1,5358604.952821945,3,150.0,1.3000000000000003,1.5499999999999998,21
2,10116294.792967247,3,195.0,0.30000000000000004,0.5499999999999999,21
3,18884891.463515624,3,240.0,0.30000000000000004,0.5499999999999999,21
4,33917415.78981881,3,285.0,0.30000000000000004,0.5499999999999999,21
1,5795919.312980305,3,150.0,1.3000000000000003,1.5499999999999998,22
2,10935459.283697441,3,195.0,0.30000000000000004,0.5499999999999999,22
3,20371658.117390513,3,240.0,0.30000000000000004,0.5499999999999999,22
4,36328855.312899634,3,285.0,0.30000000000000004,0.5499999999999999,22
1,5741159.637047915,3,150.0,1.3000000000000003,1.5499999999999998,23
2,10829353.612124695,3,195.0,0.30000000000000004,0.5499999999999999,23
3,20156344.429505967,3,240.0,0.30000000000000004,0.5499999999999999,23
4,35853053.83331542,3,285.0,0.30000000000000004,0.5499999999999999,23
1,6036203.861023532,3,150.0,1.3000000000000003,1.5499999999999998,24
2,11383887.376945727,3,195.0,0.30000000000000004,0.5499999999999999,24
3,21174765.987687573,3,240.0,0.30000000000000004,0.5499999999999999,24
4,37570342.975960046,3,285.0,0.30000000000000004,0.5499999999999999,24
1,5494359.156008968,3,150.0,1.3000000000000003,1.5499999999999998,25
2,10370871.874539489,3,195.0,0.30000000000000004,0.5499999999999999,25
3,19348815.423982523,3,240.0,0.30000000000000004,0.5499999999999999,25
4,34680876.505371526,3,285.0,0.30000000000000004,0.5499999999999999,25
1,5724520.573088683,3,150.0,1.3000000000000003,1.5499999999999998,26
2,10802253.001963306,3,195.0,0.30000000000000004,0.5499999999999999,26
3,20133355.060494468,3,240.0,0.30000000000000004,0.5499999999999999,26
4,35961910.31499583,3,285.0,0.30000000000000004,0.5499999999999999,26
1,5743628.833790056,3,150.0,1.3000000000000003,1.5499999999999998,27
2,10837078.848340344,3,195.0,0.30000000000000004,0.5499999999999999,27
3,20190351.36167938,3,240.0,0.30000000000000004,0.5499999999999999,27
4,36020075.85130215,3,285.0,0.30000000000000004,0.5499999999999999,27
1,6439974.740356749,3,150.0,1.3000000000000003,1.5499999999999998,28
2,12135525.3741011,3,195.0,0.30000000000000004,0.5499999999999999,28
3,22508825.97420204,3,240.0,0.30000000000000004,0.5499999999999999,28
4,39567591.074403554,3,285.0,0.30000000000000004,0.5499999999999999,28
1,5499341.006472668,3,150.0,1.3000000000000003,1.5499999999999998,29
2,10381044.882882569,3,195.0,0.30000000000000004,0.5499999999999999,29
3,19372739.881060682,3,240.0,0.30000000000000004,0.5499999999999999,29
4,34750976.3595006,3,285.0,0.30000000000000004,0.5499999999999999,29
1,6480619.227913173,3,150.0,1.3000000000000003,1.5499999999999998,30
2,12210402.132406268,3,195.0,0.30000000000000004,0.5499999999999999,30
3,22636728.83885751,3,240.0,0.30000000000000004,0.5499999999999999,30
4,39732369.374996096,3,285.0,0.30000000000000004,0.5499999999999999,30
1,6547043.601900635,3,150.0,1.3000000000000003,1.5499999999999998,31
2,12335121.876934847,3,195.0,0.30000000000000004,0.5499999999999999,31
3,22864901.181424707,3,240.0,0.30000000000000004,0.5499999999999999,31
4,40110717.22220373,3,285.0,0.30000000000000004,0.5499999999999999,31
1,5684002.152610044,3,150.0,1.3000000000000003,1.5499999999999998,32
2,10726129.518235644,3,195.0,0.30000000000000004,0.5499999999999999,32
3,19993757.589955214,3,240.0,0.30000000000000004,0.5499999999999999,32
4,35727854.07129756,3,285.0,0.30000000000000004,0.5499999999999999,32
1,5704462.228153046,3,150.0,1.3000000000000003,1.5499999999999998,33
2,10764587.774914362,3,195.0,0.30000000000000004,0.5499999999999999,33
3,20064399.71809508,3,240.0,0.30000000000000004,0.5499999999999999,33
4,35846806.14422884,3,285.0,0.30000000000000004,0.5499999999999999,33
1,6096201.775457885,3,150.0,1.3000000000000003,1.5499999999999998,34
2,11495839.133771952,3,195.0,0.30000000000000004,0.5499999999999999,34
3,21375148.51384012,3,240.0,0.30000000000000004,0.5499999999999999,34
4,37879524.02835332,3,285.0,0.30000000000000004,0.5499999999999999,34
1,5252355.112997527,3,150.0,1.3000000000000003,1.5499999999999998,35
2,9917446.924777478,3,195.0,0.30000000000000004,0.5499999999999999,35
3,18525124.85797265,3,240.0,0.30000000000000004,0.5499999999999999,35
4,33340295.549797364,3,285.0,0.30000000000000004,0.5499999999999999,35
1,5633419.125088892,3,150.0,1.3000000000000003,1.5499999999999998,36
2,10630415.446137978,3,195.0,0.30000000000000004,0.5499999999999999,36
3,19813785.998605426,3,240.0,0.30000000000000004,0.5499999999999999,36
4,35400159.7161466,3,285.0,0.30000000000000004,0.5499999999999999,36
1,4939585.72637174,3,150.0,1.3000000000000003,1.5499999999999998,37
2,9331417.654972348,3,195.0,0.30000000000000004,0.5499999999999999,37
3,17460470.484181855,3,240.0,0.30000000000000004,0.5499999999999999,37
4,31607761.25467205,3,285.0,0.30000000000000004,0.5499999999999999,37
1,5895738.366262958,3,150.0,1.3000000000000003,1.5499999999999998,38
2,11121884.127469111,3,195.0,0.30000000000000004,0.5499999999999999,38
3,20706426.843033448,3,240.0,0.30000000000000004,0.5499999999999999,38
4,36851324.56151827,3,285.0,0.30000000000000004,0.5499999999999999,38
