well_id,row,col,row_letter,compound,dose_uM,time_h,er,mito,nucleus,actin,rna,batch_id,context_id,profile,design,is_outlier,pathology_type,affected_channel,edge_distance,exposure_multiplier
A1,0,0,A,DMSO,0.0,24.0,86.76668447392451,118.08231544610176,163.6976981663822,77.81397963725595,131.97517502221922,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,1.0,1.0
A2,0,1,A,DMSO,0.0,24.0,98.20085634689254,131.3956767451316,189.2085333093134,100.54935682195722,114.24839939615536,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.9575093715454452,1.0
A3,0,2,A,DMSO,0.0,24.0,83.57918231828708,114.71200737281848,168.90736334877394,97.93011757098705,129.2553383186931,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.9171749178143036,1.0
A4,0,3,A,DMSO,0.0,24.0,85.18147950911104,108.50202345142843,144.5389956414167,102.82812172566912,129.98042258347587,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8792934093981166,1.0
A5,0,4,A,DMSO,0.0,24.0,89.63807773150019,119.61545961594211,155.03995650532698,76.8075198652289,146.43491558625723,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8441951234325044,1.0
A6,0,5,A,DMSO,0.0,24.0,97.999651431354,114.84447624032275,147.3674328515699,93.52681624274321,131.2739614424915,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.812240943142148,1.0
A7,0,6,A,DMSO,0.0,24.0,82.73258652156984,117.809981402279,147.46364213919506,89.8809739474628,134.83437774366118,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7838154946660846,1.0
A8,0,7,A,DMSO,0.0,24.0,84.33154747260474,127.38429600358057,167.47231956155883,92.59561853156374,106.31403509811159,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7593151824596946,1.0
A9,0,8,A,DMSO,0.0,24.0,102.91918158473821,145.22864002942083,143.8166958314874,85.35027648422987,143.2722849325674,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7391304347826085,1.0
A10,0,9,A,DMSO,0.0,24.0,85.72969780308124,98.38997755110141,139.89498349101677,75.99146581620174,114.26363874753945,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7236224772649233,1.0
A11,0,10,A,DMSO,0.0,24.0,67.87907526738475,107.46479305947821,155.38952305962735,94.12592225626014,118.09318216032477,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.713096498558988,1.0
A12,0,11,A,DMSO,0.0,24.0,80.94846162311588,101.39608265182348,162.8779817413984,108.65805618461746,141.73674095626433,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7077748085260741,1.0
B1,1,0,B,DMSO,0.0,24.0,69.26595006459988,98.22524049611934,163.22608108222533,89.66083254771937,127.96647718079512,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.9357112565078799,1.0
B2,1,1,B,DMSO,0.0,24.0,105.0400729167768,149.64301393774952,174.95110261801693,107.43657920504877,159.80961263600554,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8901571502565763,1.0
B3,1,2,B,DMSO,0.0,24.0,87.61031287627304,153.802952561911,183.96486818104785,104.36792156359803,146.22592725181096,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8466199769809536,1.0
B4,1,3,B,DMSO,0.0,24.0,86.37073148155888,129.30459615312552,196.95907207888888,109.2948578705777,140.62612985049034,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8054268777279037,1.0
B5,1,4,B,DMSO,0.0,24.0,102.94707173775083,121.73051570327043,157.87128396458633,117.67351983127551,135.7249109337322,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7669556453816456,1.0
B6,1,5,B,DMSO,0.0,24.0,94.26374227815406,153.34490615465756,190.32520136804442,125.88641905270781,155.47306629825016,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7316357736415037,1.0
B7,1,6,B,DMSO,0.0,24.0,97.27379810716864,155.0603538656077,173.72724677454195,111.98535537169123,176.48694107112323,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6999444872518066,1.0
B8,1,7,B,DMSO,0.0,24.0,95.59098711978355,133.63301196502152,189.50110623131255,115.84662220974904,155.2561395508428,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6723950489625539,1.0
B9,1,8,B,DMSO,0.0,24.0,107.47292132763738,130.4544067109964,186.26348446091785,97.15073437816407,123.71067023742515,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6495147074373941,1.0
B10,1,9,B,DMSO,0.0,24.0,94.88050312948164,162.138295153193,151.3059869567665,95.39066935163015,167.39516938369383,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6318109251655752,1.0
B11,1,10,B,DMSO,0.0,24.0,106.85243014714153,117.62900920379333,202.69296619857892,105.83342687727001,140.3394835696469,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6197274980284838,1.0
B12,1,11,B,DMSO,0.0,24.0,93.74276968000767,113.3201009208423,180.67139252175917,119.53888955553273,144.98055767887095,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6135965573075491,1.0
C1,2,0,C,DMSO,0.0,24.0,88.34917572116896,101.76114899533874,160.35377574816994,90.54168009529465,137.68063340365586,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8768630958643937,1.0
C2,2,1,C,DMSO,0.0,24.0,87.84940226457769,129.50980117896188,208.57029386540066,107.86599933886527,147.0023742418348,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.8280779465039765,1.0
C3,2,2,C,DMSO,0.0,24.0,86.66694282866919,181.7300822616095,191.62905664885628,121.46406986252238,144.1988513382727,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7810881632418736,1.0
C4,2,3,C,DMSO,0.0,24.0,114.38494515976649,142.2504585504728,182.63183394438877,108.87579615382107,177.880401218475,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.7362375898443742,1.0
C5,2,4,C,DMSO,0.0,24.0,117.7937598607352,136.47387327893114,196.21199886874112,113.30170140651796,152.3901027573199,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6939411324572928,1.0
C6,2,5,C,DMSO,0.0,24.0,88.91238297417192,118.01140784820844,130.49193218309532,108.241474570714,175.4240194351455,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6546940037951585,1.0
C7,2,6,C,DMSO,0.0,24.0,112.75239286516126,128.56592839911406,146.85507158281732,105.3067523803411,147.91602220900515,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.6190764238505032,1.0
C8,2,7,C,DMSO,0.0,24.0,98.16271635682946,150.5235392607163,153.34290191529186,97.48669546310892,148.47930973641652,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.5877486156535704,1.0
C9,2,8,C,DMSO,0.0,24.0,98.72686783782667,140.04417916252655,175.50315078171633,105.45241127360829,140.5883511110758,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.5614291482554296,1.0
C10,2,9,C,DMSO,0.0,24.0,94.80763714540883,132.524442335417,159.55082751715486,114.91409689600094,129.88679692944137,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.540849681974496,1.0
C11,2,10,C,DMSO,0.0,24.0,80.05712110360638,154.11131843691865,193.82426174258705,85.69373505776092,120.23474808208726,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.5266834961777118,1.0
C12,2,11,C,DMSO,0.0,24.0,108.42253657131094,146.2810265928303,174.06446226098686,98.72379448283552,139.19628275217653,batch_0000002a,ctx_0000002a,realistic,dmso_only,False,,,0.5194555500454393,1.0
